id	name	bpm	artist	duration_ms	external_url
3iSfnD8bYT5XeXOdvogSXU	Tears	0.0	Django Reinhardt	160653	https://open.spotify.com/track/3iSfnD8bYT5XeXOdvogSXU
4xP9rjS2iT1ANZPDKPTAgR	Dream A Little Dream Of Me	0.0	Ella Fitzgerald	187466	https://open.spotify.com/track/4xP9rjS2iT1ANZPDKPTAgR
0pVyEzB5ydaIPLUIsNHXo3	Can Anyone Explain? - No, No, No	0.0	Ella Fitzgerald	190000	https://open.spotify.com/track/0pVyEzB5ydaIPLUIsNHXo3
1iTdc2bjDaGMZcXcEe9Q5U	East St. Louis Toodle-o	0.0	Duke Ellington	212466	https://open.spotify.com/track/1iTdc2bjDaGMZcXcEe9Q5U
0CmOn2UrSYH5BJD7vZESrK	Southern Exposure (05-01-41)	92.29	Buddy Johnson	193800	https://open.spotify.com/track/0CmOn2UrSYH5BJD7vZESrK
5wpRJYuPrSLanI5EQchKnu	Moonglow - Take 1	103.36	Benny Goodman Quartet	203173	https://open.spotify.com/track/5wpRJYuPrSLanI5EQchKnu
3RlWrENFyPbFZIQYH8yiRN	I’m Confessin’	95.70	Harry James	201289	https://open.spotify.com/track/3RlWrENFyPbFZIQYH8yiRN
73t5D72QhEs05Iyr4Or9UH	Si tu vois ma mère	86.13	The Bailsmen	187746	https://open.spotify.com/track/73t5D72QhEs05Iyr4Or9UH
0vg18XdzWN8iGn4SxPK4yW	I've Got the World On a String - 1995 Remastered	95.70	Coleman Hawkins	335773	https://open.spotify.com/track/0vg18XdzWN8iGn4SxPK4yW
2e9vV2Z8eqxEJzvVbLZcnV	Knock Me A Kiss	117.45	Louis Jordan & His Tympany Five	168626	https://open.spotify.com/track/2e9vV2Z8eqxEJzvVbLZcnV
4HNqPqY1buwfOKPrbki3DR	Harlem Noctune	83.35	Johnny Otis	188400	https://open.spotify.com/track/4HNqPqY1buwfOKPrbki3DR
56DckL41gLE007cLet3JeW	Music Maestro Please	107.67	Geoff Cole's Hot Five	230226	https://open.spotify.com/track/56DckL41gLE007cLet3JeW
6fEtL5MfpiG8WqlaA1O7Zu	Sweet Lorraine - Remastered 1999	76.00	Nat King Cole	276440	https://open.spotify.com/track/6fEtL5MfpiG8WqlaA1O7Zu
33AaB051J4ZoXBfMsFn7hV	Open Door	80.75	Lisa Ekdahl	210653	https://open.spotify.com/track/33AaB051J4ZoXBfMsFn7hV
7uqp6emhzdbALAeVyWzziO	(What Did I Do To Be So) Black And Blue - Shorter Version	0.0	Louis Armstrong	277133	https://open.spotify.com/track/7uqp6emhzdbALAeVyWzziO
2owMqHIuecYLT57nt2jQea	Blue Turning Grey Over You	0.0	Louis Armstrong	293466	https://open.spotify.com/track/2owMqHIuecYLT57nt2jQea
16LZ9oZJIM0Qn2e7UMV7Xo	Penthouse Serenade (When We're Alone) - Remastered	68.00	Nat King Cole	188200	https://open.spotify.com/track/16LZ9oZJIM0Qn2e7UMV7Xo
4RmiwtKURZSIQdyZaouTFh	Really The Blues	71.78	Sidney Bechet	220333	https://open.spotify.com/track/4RmiwtKURZSIQdyZaouTFh
3jv56E2TwVqWdLjkdPSxwu	Blues of the Roaring Twenties	80.75	Sidney Bechet	243373	https://open.spotify.com/track/3jv56E2TwVqWdLjkdPSxwu
6ypNrzYXMldo8KJ6doahak	My Aphrodisiac Is You	86.13	Katie Melua	214840	https://open.spotify.com/track/6ypNrzYXMldo8KJ6doahak
5unzxAzc6Kpgtdha50xIXm	Red Sails In The Sunset	0.0	Firehouse Five Plus Two	269946	https://open.spotify.com/track/5unzxAzc6Kpgtdha50xIXm
