id	name	bpm	artist	duration_ms	external_url
4Kq0wSx9fzMZVKtPwWnmHk	Communications (12-22-47)	179	Slim Gaillard	149613	https://open.spotify.com/track/4Kq0wSx9fzMZVKtPwWnmHk
3P9SfQV2owACQ7wY5B664y	Long Tall Mama	172.27	Hep Chaps	181506	https://open.spotify.com/track/3P9SfQV2owACQ7wY5B664y
2RnOXvx4PqxSgR1ct867xF	We Just Couldn't Say Goodbye	76	Girls from Mars	214186	https://open.spotify.com/track/2RnOXvx4PqxSgR1ct867xF
3IzmjtSDG6DcaqauQL2aQA	The Moon Of Manakoora	80.75	Janet Seidel	190826	https://open.spotify.com/track/3IzmjtSDG6DcaqauQL2aQA
4zDwYwT0skodlC8odE2TYL	It Ain't Right (07-01-36)	191	Stuff Smith	162000	https://open.spotify.com/track/4zDwYwT0skodlC8odE2TYL
01ZiHd6lirs3ndYJD6z2X7	Spreadin' Rhythm Around	197	Teddy Wilson & His Orchestra;Billie Holiday	173653	https://open.spotify.com/track/01ZiHd6lirs3ndYJD6z2X7
05rQYWtIEzFHIZlPkc1SXO	Meet Me Where They Play the Blues - 2014 Remastered Version	89.1	Jack Teagarden	229360	https://open.spotify.com/track/05rQYWtIEzFHIZlPkc1SXO
3jv56E2TwVqWdLjkdPSxwu	Blues of the Roaring Twenties	80.75	Sidney Bechet	243373	https://open.spotify.com/track/3jv56E2TwVqWdLjkdPSxwu
5OEGufT1ZZJduueaIfwLWE	Feather Merchant's Ball	198	Teddy Powell	182160	https://open.spotify.com/track/5OEGufT1ZZJduueaIfwLWE
5QbgRyO1uUqkBhYXsGHGyb	Oh! Lady Be Good	210	Count Basie	105477	https://open.spotify.com/track/5QbgRyO1uUqkBhYXsGHGyb
33qfrEE61vOHsdwvU0wLkK	The D.i.y. Song	178.2	Hep Chaps	215960	https://open.spotify.com/track/33qfrEE61vOHsdwvU0wLkK
3r66j2nep0ZznBCzWqJZGh	Burgundy Street Blues	78.3	Southside Aces	221937	https://open.spotify.com/track/3r66j2nep0ZznBCzWqJZGh
73appqZRUSyRZqeyolIzM4	I'm Just a Lucky So and So	73.83	Sam Cooke	194933	https://open.spotify.com/track/73appqZRUSyRZqeyolIzM4
7ay2JDP4FFkT8UwrSwitZF	Kansas City Shout - 2003 Remaster	210	Count Basie	214866	https://open.spotify.com/track/7ay2JDP4FFkT8UwrSwitZF
4QRiYsLJASggFN8J7jDOHq	Some Like It Hot	222	Gene Krupa & His Orchestra	151973	https://open.spotify.com/track/4QRiYsLJASggFN8J7jDOHq
5v5cyQcrnRLGwo5WLVl8ag	Mighty Like the Blues	86.13	Lou Hurst	165960	https://open.spotify.com/track/5v5cyQcrnRLGwo5WLVl8ag
7wXhxQxUm9y5d9ZkMaTsS7	Some Day	201	Teddy Powell	172320	https://open.spotify.com/track/7wXhxQxUm9y5d9ZkMaTsS7
5pa2rFYaOgMABWS7mykkJo	Blue Lou	189	Bunny Berigan	173026	https://open.spotify.com/track/5pa2rFYaOgMABWS7mykkJo
3U5ApDR06OdJr2nnYNvLW8	Save It Pretty Mamma	80.75	Lionel Hampton And His Orchestra	204973	https://open.spotify.com/track/3U5ApDR06OdJr2nnYNvLW8
6fEtL5MfpiG8WqlaA1O7Zu	Sweet Lorraine - Remastered 1999	80	Nat King Cole	276440	https://open.spotify.com/track/6fEtL5MfpiG8WqlaA1O7Zu
3kvKuW8SD7e0wsoXcLubFZ	Cherokee	179	Charlie Barnet & His Orchestra	198666	https://open.spotify.com/track/3kvKuW8SD7e0wsoXcLubFZ
1OlBLxTA5R8JaLVmFcuA7r	Rosetta (feat. Jon Erik Kellso)	190	Boilermaker Jazz Band	188493	https://open.spotify.com/track/1OlBLxTA5R8JaLVmFcuA7r
5BshzvsigL1rsb2YAD2Q86	I Don't Want To Set The World On Fire	89.1	Preservation Hall Jazz Band	190880	https://open.spotify.com/track/5BshzvsigL1rsb2YAD2Q86
6tCZxzjKMiWWemIqlJjoIK	Meet Me with Your Black Drawers On	80.75	Girls from Mars	228586	https://open.spotify.com/track/6tCZxzjKMiWWemIqlJjoIK
2iQH2Ljuf19zVaejNXJjdr	Let the Great Big World Keep On Turning	180	Peoria Jazzband	283960	https://open.spotify.com/track/2iQH2Ljuf19zVaejNXJjdr
6b1rmpcRS05492yGjVnCID	Softly as in a Morning Sunrise (Live)	190	Artie Shaw	158615	https://open.spotify.com/track/6b1rmpcRS05492yGjVnCID
4wKBgfRjc3KRfb2iC7sfb9	Black And Blue	89.1	Sidney Bechet	216826	https://open.spotify.com/track/4wKBgfRjc3KRfb2iC7sfb9
1iqYqVkzPJAQ6Kgc0Kn2I5	Beyond The Sea (La Mer)	95	Django Reinhardt	256000	https://open.spotify.com/track/1iqYqVkzPJAQ6Kgc0Kn2I5
2e9vNPMwkpN92JygOvaTDn	Till Tom Special	177.8	Charlie Christian	184706	https://open.spotify.com/track/2e9vNPMwkpN92JygOvaTDn
6c9FQiAlvzMaTc3HrLqSRx	The Way You Look Tonight	207	Bryan Ferry	216266	https://open.spotify.com/track/6c9FQiAlvzMaTc3HrLqSRx
1SIY8zIc4oQFjYOdnxvusY	Whoa Babe	199	Lionel Hampton	173013	https://open.spotify.com/track/1SIY8zIc4oQFjYOdnxvusY
7FC3IgTd2OC0Op9BGbolL2	Mood To Be Wooed - Rematered - 1995	86.13	Johnny Hodges	178960	https://open.spotify.com/track/7FC3IgTd2OC0Op9BGbolL2
3KpiGSpVLx2vDiQHpzQEfI	The Mermaid	95.7	Gaucho	263440	https://open.spotify.com/track/3KpiGSpVLx2vDiQHpzQEfI
2tI3DiCIYwWsqq85SbbiLW	If Dreams Come True	196	Chick Webb	204013	https://open.spotify.com/track/2tI3DiCIYwWsqq85SbbiLW
5BtlP8WrwVOwLv2s5wQaFD	Lady Be Good	184.58	Hep Chaps	211373	https://open.spotify.com/track/5BtlP8WrwVOwLv2s5wQaFD
