id	name	bpm	artist	duration_ms	external_url	
34V06VvC4jnvSPCs177zES	Wednesday Night Hop - Lindy Chorus	0	Giorgio Cuscito and Swing Valley Band	179493	https://open.spotify.com/track/34V06VvC4jnvSPCs177zES	
0QUUrAnMeCxsDAfc1Yes1i	Swingin' On That Famous Door	0	Roy Eldridge with the Delta Four	180373	https://open.spotify.com/track/0QUUrAnMeCxsDAfc1Yes1i	
4NqsBIqgxfHko9zMvnsUJS	Some of These Days	0	Mario 'Harp' Lorenzi & His Rhythmics	185586	https://open.spotify.com/track/4NqsBIqgxfHko9zMvnsUJS	
7jWb9SO2e87c7MvnmKUzvw	Blue Drag	0	The Washboard Rhythm Kings	192320	https://open.spotify.com/track/7jWb9SO2e87c7MvnmKUzvw	
7uqp6emhzdbALAeVyWzziO	(What Did I Do To Be So) Black And Blue - Shorter Version	0	Louis Armstrong	277133	https://open.spotify.com/track/7uqp6emhzdbALAeVyWzziO	
5unzxAzc6Kpgtdha50xIXm	Red Sails In The Sunset	0	Firehouse Five Plus Two	269946	https://open.spotify.com/track/5unzxAzc6Kpgtdha50xIXm	
2TjjRMZrgtVocAxXavQ1iq	They Can’t Take That Away From Me	0	Louis Armstrong	278466	https://open.spotify.com/track/2TjjRMZrgtVocAxXavQ1iq	
7LZXfSQSrYYTgT90pXdJ3i	Blues In C Sharp Minor	0	Teddy Wilson	197466	https://open.spotify.com/track/7LZXfSQSrYYTgT90pXdJ3i	
0tqTaiUksF0qdi0Fo8BiIk	There'll Be Some Changes Made	0	Billie Holiday	173880	https://open.spotify.com/track/0tqTaiUksF0qdi0Fo8BiIk	
7CtrLC8iARk8aAZv6KDf4q	I'm Gonna Sit Right Down And Write Myself A Letter	0	Johnny Hodges	210400	https://open.spotify.com/track/7CtrLC8iARk8aAZv6KDf4q	
4bqhYJmwhN61JzesJwnB8p	Si tu vois ma mère	0	Sidney Bechet	193440	https://open.spotify.com/track/4bqhYJmwhN61JzesJwnB8p	
2DRLZgWS8COYWAYAyNPg7e	I Can't Face the Music	0	Teddy Wilson	181466	https://open.spotify.com/track/2DRLZgWS8COYWAYAyNPg7e	
74iRIrkwrztdx4s6yjWzbF	New Year Blues	0	The Glenn Crytzer Orchestra	340640	https://open.spotify.com/track/74iRIrkwrztdx4s6yjWzbF	
1rs4ulGl3V1w8kKs72zTqn	I Didn't Know What Time It Was	0	George Shearing	275786	https://open.spotify.com/track/1rs4ulGl3V1w8kKs72zTqn	
3rPHZdvsRgSOZw12GalhYX	Sun Is Shining - Vintage Demix	0	Flash Mob Jazz	203809	https://open.spotify.com/track/3rPHZdvsRgSOZw12GalhYX	
6bLy8YiVKRpUzwWZG6lVDq	Autumn Leaves	0	Eric Clapton	340786	https://open.spotify.com/track/6bLy8YiVKRpUzwWZG6lVDq	
0qEJixOtVnhqaUxqh1F3zt	Autumn Leaves	0	Karrin Allyson	283853	https://open.spotify.com/track/0qEJixOtVnhqaUxqh1F3zt	
44Nc7KFreqNr7RoeRb6UW6	Sweet Slumber	0	Lucky Millinder	195506	https://open.spotify.com/track/44Nc7KFreqNr7RoeRb6UW6	
2QdICZWzBG2UknjQ7ymHLU	Bill	0	Kern	158293	https://open.spotify.com/track/2QdICZWzBG2UknjQ7ymHLU	
6dpkzJxRZvuDv5NINtvDva	Prisoner of Love	0	Lena Horne	203259	https://open.spotify.com/track/6dpkzJxRZvuDv5NINtvDva	
170wtCdrvuqAf2cZU7hrSg	Hang on little tomato	0	Pink Martini	196893	https://open.spotify.com/track/170wtCdrvuqAf2cZU7hrSg	
6ZqtiRsanGiflCA3ALRJdZ	New Orleans	0	Engelbert Wröbel's Swing Society	295600	https://open.spotify.com/track/6ZqtiRsanGiflCA3ALRJdZ	
1GOUl7eDbLqOmGjjad4PX5	As Lovely Lovers Do	0	Alex Pangman	206666	https://open.spotify.com/track/1GOUl7eDbLqOmGjjad4PX5	
0qYRSPzGQM274CesdC1VSK	Don't Meddle In My Mood	0	Michael Gamble & The Rhythm Serenaders	195000	https://open.spotify.com/track/0qYRSPzGQM274CesdC1VSK	
7AuERlwLO91OX3Ox2yNKBD	Just One More Chance (with Bucky Pizzarelli)	0	Alex Pangman	186146	https://open.spotify.com/track/7AuERlwLO91OX3Ox2yNKBD	
1mXWuwKwPqAuFDwZxfoxrI	Nuages	0	Django Reinhardt	186586	https://open.spotify.com/track/1mXWuwKwPqAuFDwZxfoxrI	
